Name	Actb	Ahcy	Aqp3	Atp12a	Bmp4	Cdx2	Creb312	Cebpa	Dab2	DppaI	Eomes	Esrrb	Fgf4	Fgfr2	Fn1	Gapdh	Gata3	Gata4	Gata6	Grhl1	Grhl2	Hand1	Hnf4a	Id2	Klf2	Klf4	Klf5	Krt8	Lcp1	Mbnl3	Msc	Msx2	Nanog	Pdgfa	Pdgfra	Pecam1	Pou5f1	Runx1	Sox2	Sall4	Sox17	Snail	Sox13	Tcfap2a	Tcfap2c	Tcf23	Utf1	Tspan8
4C	-0.466292	-2.727096	-0.451759	-0.312843	0.092130	0.256503	-0.350427	-0.591761	-0.788602	-0.657379	-1.058004	1.289800	1.747198	-1.275007	0.761329	-1.107908	-0.103523	1.358392	-1.174250	0.614110	0.432533	1.910700	-0.126874	-0.894193	1.783079	1.390278	-1.707666	-1.312959	-1.173255	1.156270	-0.475738	-0.537863	0.543857	-0.486467	-0.510806	-0.761742	-0.253191	0.214250	-0.768497	1.284101	-2.098748	1.197011	0.733352	0.475503	1.678857	0.648139	-1.075260	0.405601
4C	-1.261742	-0.705848	0.289336	-0.717599	-0.342543	-0.511353	0.504463	1.347839	-2.067092	-0.918290	-1.463458	1.039731	1.622326	-1.337239	1.171605	-1.097996	-3.473385	1.494227	-0.053828	0.691291	0.522689	1.438641	0.877330	-0.327260	1.512883	0.858142	-1.874232	-1.610595	-1.529522	0.858432	-0.924891	-0.971342	0.933539	-0.216264	0.084871	-0.198763	0.189367	-0.066415	-0.428330	0.733139	0.130768	1.211168	1.075667	0.766485	1.328694	-1.036164	-1.468454	0.345413
4C	-1.313034	-1.121949	0.228361	-0.471252	-0.077987	-0.172253	-0.491916	1.581228	-1.835683	-0.759491	-1.216686	1.149751	2.111597	-0.924140	-0.826319	-1.326537	-0.689795	1.413228	-0.459970	-1.040331	0.780380	1.468876	-0.291276	-0.999989	1.544471	1.006516	-0.957666	-1.429444	-1.136706	0.909824	-0.651522	-0.707513	0.330527	-3.564163	-0.635855	0.861948	0.034908	0.086925	0.104928	0.743468	0.006161	1.592210	0.835369	0.643394	1.420036	0.942948	-1.229144	0.636104
4C	-1.620845	-0.778959	0.164481	-0.649975	-0.269920	-0.705458	-0.651550	1.111194	-0.043478	-0.874699	-1.395717	1.169561	1.853535	-0.567192	0.979410	-1.306515	-0.653624	1.357592	-2.423329	0.995552	-0.133325	1.600676	-0.476761	-1.119352	1.471394	0.799060	-1.651823	-1.439796	-1.469999	0.617929	-0.849849	-0.898919	0.205364	-0.623023	0.016156	1.606121	0.027916	0.199350	0.296896	0.890843	0.083579	1.676741	0.982828	-1.085951	1.207009	-0.966972	-0.841332	0.164888
4C	-0.496360	-1.460144	-0.637987	-0.586612	-0.201874	-0.416755	-0.594954	-0.831952	-1.944048	-0.833854	-1.332245	1.103750	1.915179	0.338006	0.781680	-0.749219	-0.524029	1.593317	-2.603301	0.608837	0.166848	1.060582	-0.411000	-0.157530	1.425453	1.267763	-1.256384	-1.514274	-0.610620	0.074077	-0.779536	-0.831059	0.668834	0.021406	0.143702	1.230863	-0.344123	-0.074271	-0.186175	1.029212	-0.139128	1.584696	0.326579	0.035397	1.707656	1.141738	-1.341208	0.254067
4C	-0.965654	-0.695620	-0.132759	-0.851541	0.387172	-1.607747	-0.831586	1.135268	-0.971738	-0.547321	-1.560424	1.401452	0.969569	0.525433	1.098639	-1.534221	-0.896628	1.541369	0.263947	0.634165	0.214686	1.327118	-0.685953	-1.253972	1.594906	0.695893	-1.116213	-1.709089	-1.065476	0.132058	-1.073524	-1.114789	0.491387	-0.496803	-0.936060	0.981684	-0.525299	0.306089	0.367354	0.962147	-0.289645	1.704149	0.236676	0.158189	1.383784	-1.173208	0.158628	0.350215
4C	-1.417610	-1.018417	0.222799	-0.812786	-0.444766	0.036762	0.708582	1.110971	-0.680706	-0.979649	-1.558810	1.202213	1.840616	0.873461	0.804278	-1.184457	-0.525009	1.352055	0.048933	-1.368899	0.753107	1.266533	-0.645732	-0.752452	1.540599	0.824226	-1.946485	-0.377936	-1.033702	0.090589	-1.030519	-1.073285	0.741036	-4.058449	-0.148339	1.063280	0.065170	-1.575415	0.186924	0.954342	0.192470	1.097486	0.354869	0.713490	1.085918	0.393357	-1.560923	0.438385
4C	-1.396510	-0.653407	0.108759	-0.912127	-0.551449	0.160367	-0.885702	1.580371	-0.974711	-1.043686	-1.658322	0.930546	1.803979	0.672701	0.405773	-0.964183	-0.928690	1.318176	-0.520874	0.016516	0.722759	1.757501	-0.748832	-1.294436	1.504845	1.113449	-1.593905	-0.342803	-1.580598	0.685235	-1.022944	-1.179676	-0.361491	-1.299312	0.237341	1.064439	-0.063129	0.406127	0.222402	0.690029	-1.244459	1.128345	0.209201	0.264652	0.629739	1.185637	-1.657426	0.312660
4C	-1.180907	-0.390698	0.339164	-0.697292	-0.320735	-0.119894	-0.693813	1.739993	-0.204125	-0.905200	-0.630473	0.748851	2.009905	0.268234	0.538884	-1.695413	-0.395790	1.623387	-0.655715	0.153284	1.014228	1.458369	-0.525868	-1.150954	1.601177	0.846490	-1.925794	-1.595662	-1.511648	-0.221860	-0.902357	-0.949594	0.093837	-1.721357	-0.594155	0.887055	-0.188585	-1.461275	-0.008314	0.812208	-1.172726	1.417636	0.434896	0.154427	0.908366	0.585405	-0.020346	0.571831
4C	-0.980715	-0.511364	-0.056900	-1.054904	-0.704779	-0.147440	-1.013228	1.142566	-0.549835	-1.135722	-1.801344	0.228977	1.293691	0.090866	0.653160	-2.015661	-0.553054	1.528121	-0.800179	0.625565	0.726631	1.604177	-0.897010	-1.389792	1.435536	1.244173	-2.213244	-0.596710	-0.940209	-0.020981	-1.299194	-0.804360	-0.007239	-0.049264	0.425426	0.323316	-0.426112	0.678900	0.218663	0.905509	-0.854335	1.390862	0.956672	-0.312323	0.793633	1.634100	-0.402281	0.081675
