name	GCNF	CDX2	GATA6	PBX1	KLF4	NANOG	OCT4	Oct4Sox2	SOX2
98	98	516.428926	12.602203	2.753522	0.486106	0.000083	0.000017	0.007602	0.007805	0.730126
99	99	0.874544	312.717685	0.019587	0.663003	0.001448	0.000013	0.011260	0.065878	2.750054
100	100	2.426149	195.151670	0.029616	0.492872	0.000675	0.000038	0.179304	0.015312	1.211642
101	101	86.099025	108.774306	5.683348	0.630751	0.009323	0.000000	0.001691	0.538959	78.735972
102	102	0.011827	0.002247	0.000650	89.099597	60.066721	1.670322	139.808474	536.812330	206.614114
103	103	119.216243	225.885210	6.790129	0.018102	0.000694	0.000001	0.000847	0.092065	0.841322
104	104	143.722687	118.920449	43.294774	7.695094	0.010986	0.000139	0.312280	0.077393	0.201240
105	105	15.878789	566.581624	9.158707	0.077323	0.000853	0.000000	0.023399	0.258236	5.542047
106	106	152.380871	160.476585	0.865731	1.111378	0.000102	0.000060	0.001669	0.025629	0.172220
107	107	0.095474	0.000009	0.000407	304.927192	2.371193	2.197201	138.834470	33.079144	10.722452
108	108	0.086333	0.003850	0.011824	51.896776	3.148215	0.188886	139.449988	94.085990	166.565176
109	109	182.694577	48.590656	1.149531	0.069397	0.000876	0.000004	0.001765	0.006894	5.178790
110	110	49.270356	65.604324	2.088601	1.119574	0.093899	0.000000	0.000219	0.003208	0.152246
111	111	1.114219	93.675768	0.015765	0.731705	0.006116	0.000106	0.003710	0.002478	0.130439
112	112	0.010703	0.003400	0.012596	2.797486	5.710037	0.257031	76.641612	331.714209	168.132638
113	113	55.197882	57.149620	64.688798	2.652692	0.000640	0.000003	0.000408	0.003412	0.951395
114	114	0.331444	192.338532	0.131888	0.396390	0.001733	0.000008	0.023061	0.092333	3.038841
115	115	0.030043	0.110440	0.000448	792.841132	313.839471	4.199265	78.059104	357.980700	70.670882
116	116	3.363861	343.938069	0.009388	1.534355	0.006347	0.000004	0.028466	0.027076	0.293971
117	117	0.014822	0.021482	0.016147	100.257753	6.173673	1.165389	92.990601	223.364639	52.682832
118	118	50.041738	218.022920	2.499535	6.662525	0.003570	0.000003	0.001591	0.004732	0.381121
119	119	2.095701	0.113226	1.990332	0.225472	6.863084	0.005388	308.607861	164.882903	183.697349
120	120	1.556123	57.327084	0.014730	1.859516	0.001219	0.000874	0.051229	0.056343	22.127077
121	121	119.247400	38.806139	7.131898	62.219979	0.000027	0.000001	0.000146	0.003061	0.261449
122	122	6.006098	258.652442	0.008242	0.681161	0.002242	0.000041	0.007895	0.061362	1.472998
123	123	65.209127	64.925711	5.851737	1.471835	0.000594	0.000000	0.000761	0.146123	0.079154
124	124	2.571459	48.520886	0.026006	0.933681	0.001173	0.000314	0.000490	0.076035	0.482143
125	125	99.682891	106.214948	8.794143	2.018543	0.000891	0.000014	0.000324	0.001165	0.307416
126	126	4.771170	42.972297	0.007234	2.446188	0.030848	0.000020	0.137746	0.007986	19.842900
127	127	3.847222	102.560543	0.012246	7.579885	0.001211	0.000091	0.005564	0.046219	0.471879
128	128	0.015240	0.001242	0.002130	60.641940	118.555189	2.773968	112.357062	47.518619	59.866001
129	129	0.499041	0.007227	0.009605	572.214402	256.645117	1.170221	327.241521	210.544737	59.891111
130	130	0.024269	0.000869	0.000654	420.625353	2.632986	0.550808	50.120191	9.135869	239.655294
131	131	0.171037	82.903954	0.006861	0.925898	0.000708	0.000412	0.124893	0.003947	0.948367
132	132	0.036684	0.013188	0.001130	130.172600	37.176061	4.031417	46.167061	449.412674	77.710304
133	133	74.134799	57.007665	1.193152	1.384967	0.007807	0.000003	0.004716	0.028578	0.162988
134	134	9.640186	138.158068	3.820411	2.959926	0.000625	0.000003	0.004362	0.049076	0.134298
135	135	114.027027	66.093432	0.097670	0.944088	0.002234	0.000023	0.002450	0.050006	0.103267
136	136	0.066922	0.006217	0.002160	111.723743	0.909018	0.619613	2.157015	0.148623	0.151635
137	137	50.336640	262.030148	2.747067	0.387380	0.001056	0.000002	0.003698	0.094979	2.178205
138	138	43.910590	248.123574	3.683788	0.474730	0.127892	0.000017	0.003380	0.664535	0.092079
139	139	34.926326	439.083953	1.142365	23.305523	0.001655	0.000129	0.002976	0.024504	0.120493
140	140	43.317768	51.869228	1.598731	1.552517	0.623793	0.000033	0.001634	5.312305	80.119083
141	141	2.022090	34.516828	0.029903	8.009133	0.000351	0.000014	0.035216	0.454813	0.306612
142	142	25.336459	95.533049	17.252840	0.897875	0.000893	0.000001	0.005596	0.004787	1.179072
143	143	8.665764	22.674298	0.070853	1.465734	0.001785	0.000000	0.001568	0.171902	0.115977
144	144	11.248268	84.048782	0.003798	4.892924	0.000140	0.000087	0.082469	0.018196	1.309562
145	145	0.158662	0.000144	0.005215	344.292275	122.105214	3.501119	88.922894	61.125523	126.041935
146	146	98.486836	79.084826	63.056841	3.431088	0.006342	0.000000	0.000500	0.000682	2.543043
147	147	2.721513	579.003797	0.039888	1.253886	0.015576	0.000054	0.013625	0.001981	0.417757
148	148	0.030293	0.000586	0.002163	30.729513	27.314593	3.648157	285.878240	60.085210	74.096988
149	149	0.010594	0.001724	0.000365	123.044469	72.293599	0.472988	205.305149	110.377477	101.004727
150	150	1.720456	100.596618	0.009271	1.616151	0.009537	0.000064	0.044667	0.077329	0.290601
151	151	0.218955	299.004834	0.005554	0.200403	0.000390	0.000000	0.005966	0.067821	0.136496
152	152	0.034541	0.000308	0.002555	71.574610	208.559179	8.593197	69.240681	76.560800	161.682195
153	153	13.135799	99.719379	2.054267	0.976857	0.042071	0.000024	0.000695	0.037649	0.759948
154	154	0.001547	0.000437	0.000861	233.474148	52.377344	2.317736	90.850969	605.699748	400.217377
155	155	22.872894	409.452419	0.311333	1.503419	0.001146	0.000001	0.000151	0.007318	1.194831
156	156	0.100302	0.000965	0.008652	68.581284	43.429005	1.356491	110.826110	114.691765	221.509383
157	157	0.010520	0.001651	0.001607	56.981552	66.693072	1.766928	189.196947	175.528563	195.528758
158	158	148.869459	110.677872	2.225385	14.937533	0.000647	0.000037	0.004218	0.012289	1.630858
159	159	246.069152	72.001846	1.978906	0.154563	0.000370	0.000001	0.003307	0.006550	1.472306
160	160	0.016897	0.005194	0.000553	80.292704	22.773877	15.526158	87.482224	214.689526	88.262701
161	161	2.449917	107.126159	0.031715	7.170829	0.002086	0.000217	0.057593	0.023067	0.707283
162	162	8.308287	168.513341	0.013329	5.535294	0.008694	0.000001	0.034684	0.054175	1.447538
163	163	0.745395	51.331660	0.000520	3.862736	0.050976	0.000026	0.011392	0.014254	0.020690
164	164	93.086690	101.342956	10.295015	4.660649	0.000795	0.000001	0.029197	0.000705	4.672611
165	165	0.710187	5.140316	0.022497	0.488281	0.006598	0.000102	0.092629	0.075915	2.388987
166	166	181.340832	299.266919	6.587431	3.199996	0.000574	0.000001	0.022750	0.075393	0.689789
167	167	0.024420	0.007859	0.000072	207.089127	52.107170	2.594830	101.322376	432.748797	245.075932
168	168	1.049599	147.250222	0.047145	38.533384	0.006373	0.000193	0.232490	0.054717	1.094103
169	169	0.029365	0.001746	0.000593	33.798539	156.560450	0.252833	145.223891	142.461374	103.903252
170	170	46.448368	64.197491	1.171317	0.081756	0.005011	0.000008	0.020330	0.030465	0.384538
171	171	1.460701	0.060305	9.850657	1.667374	0.001971	0.000158	0.516262	0.020924	2.587610
172	172	0.879993	154.122534	0.024447	3.190802	0.000861	0.000067	0.014874	0.057441	5.447461
173	173	173.950980	96.396910	3.365654	1.947617	0.001493	0.000028	0.001387	0.013896	1.745555
174	174	13.060326	124.073999	0.026131	40.474743	0.034900	0.000333	0.008803	0.926938	39.271941
175	175	20.107809	840.374747	12.397978	0.926948	0.004858	0.000000	0.003855	0.142634	3.553695
176	176	0.031714	0.000016	0.065118	67.732860	94.842974	2.792885	442.862491	30.694622	15.165477
177	177	0.125773	0.000435	0.005825	319.294303	69.564869	1.762158	75.737453	94.376843	136.057625
178	178	8.108837	132.454404	41.047146	0.137619	0.003500	0.000001	0.387020	0.188666	2.094770
179	179	5.374818	72.356665	0.008794	1.072891	0.002147	0.000014	0.117063	0.041923	14.377301
180	180	0.011851	0.000003	0.017942	27.392423	250.900755	1.220984	73.073328	17.460936	329.224297
181	181	18.124295	79.821750	0.009075	11.480304	0.003202	0.000141	0.095686	0.005277	0.274829
182	182	16.171505	14.700110	6.636879	3.189880	0.000797	0.000002	0.133054	0.014926	1.455219
183	183	52.623380	260.966715	1.071961	0.375569	0.009386	0.000312	0.001544	0.000446	0.198876
184	184	10.059195	38.896272	0.086423	0.355197	0.037992	0.000055	0.044480	0.043247	0.836687
185	185	0.060451	0.000879	0.012283	57.403269	28.381855	46.555122	47.417411	117.676546	331.214954
186	186	6.403972	582.838755	0.000633	2.464121	0.000401	0.001985	0.040134	0.012953	0.028502
187	187	1.434050	210.634800	0.244586	33.762130	0.073430	0.000325	0.879875	2.884557	0.338646
188	188	121.247484	67.747932	10.225135	0.173641	0.004834	0.000006	0.003482	0.011877	0.808498
189	189	0.044733	0.000745	0.000053	128.240309	10.425864	0.686439	27.932233	20.194703	4.293303
190	190	0.008389	0.000654	0.006337	221.163424	84.770124	0.616102	110.055696	77.144746	118.219810
191	191	21.766296	27.372874	0.030539	0.888227	0.000417	0.000188	0.000130	0.027215	0.634451
192	192	0.046684	0.000704	0.001437	56.999604	102.937369	0.542417	57.621168	316.974286	263.357731
193	193	0.347498	0.002593	0.000041	50.404722	34.222613	48.028971	324.974566	70.510881	102.371903
194	194	0.054991	0.000036	0.003326	76.848809	134.542858	14.745716	31.573165	44.149800	431.636184
195	195	243.386780	68.632262	5.757378	2.896075	0.000374	0.000077	0.001126	0.013753	0.076722
196	196	1.698084	200.826244	0.024476	1.703230	0.001027	0.001702	0.032536	0.002309	0.848624
197	197	59.641763	177.903120	0.427017	0.181213	0.000588	0.000127	0.000377	0.013250	0.470805
198	198	3.810032	31.332652	0.600787	2.779605	0.000561	0.000018	0.011670	0.031480	14.309834
199	199	90.018649	308.569359	0.011445	7.685515	0.028336	0.000003	0.004858	0.019367	1.767848
200	200	53.255477	471.755001	5.495543	1.200699	0.000335	0.000003	0.004642	0.002293	4.690511
201	201	10.906022	127.604200	0.012852	0.496085	0.000731	0.000113	0.280978	0.376496	0.170978
202	202	34.490664	196.453492	83.259731	3.160218	0.002095	0.000012	0.006531	0.012576	2.414513
203	203	3.877210	58.075832	0.038221	14.151244	0.001295	0.008043	0.031363	0.046029	0.057184
204	204	76.173696	117.215456	5.924375	0.596352	0.001784	0.000000	0.000019	0.204645	3.297935
205	205	68.597210	132.428149	13.937868	0.098074	0.001164	0.000000	0.028174	0.156773	2.379422
206	206	197.455809	84.184983	1.165023	2.421255	0.001542	0.000167	0.000241	0.011780	0.227940
207	207	0.048745	0.000341	0.000183	21.609174	75.857767	0.357333	281.169442	331.774915	347.603549
208	208	0.001214	0.007166	0.006057	10.807793	249.255236	0.949139	90.359476	37.275376	76.784702
209	209	39.768411	175.688019	9.210452	3.037823	0.002346	0.000005	0.033787	0.022319	1.377574
