Name	Cdx2	Oct4	Oct4-Sox2	Sox2
1_267_1	1.049419	-0.573469	-1.639202	-1.080132
1_268_1	1.355366	-1.627585	-1.469942	-1.079824
1_269_1	0.722631	-1.020084	-1.864011	-1.041004
1_270_1	1.010925	0.089126	0.059686	0.115420
1_271_1	0.847070	-1.699595	-0.036310	0.235800
1_272_1	0.547887	-0.559781	-1.153814	-1.173391
1_273_1	1.312825	-1.610220	-0.812033	-1.196467
1_274_1	1.294493	-1.156716	-0.050825	0.841345
1_275_1	-1.080944	1.403970	1.631130	0.809648
1_276_1	-1.395214	1.243639	1.254660	1.383840
1_277_1	1.230374	-1.426818	-1.051089	-0.993018
1_278_1	1.125792	-0.894964	-1.363566	-1.145374
1_279_1	1.133487	-1.215718	-0.650349	-0.119276
1_280_1	-1.522454	1.328801	1.331298	0.815795
1_281_1	0.659937	-1.121377	-1.385811	-1.039229
1_282_1	1.009355	-0.272958	-1.060579	-0.816794
1_283_1	1.349118	-0.345287	-0.606907	-1.190009
1_284_1	1.007574	-1.642662	-0.868257	-1.017063
1_285_1	1.017136	-0.684740	-1.931793	-1.717840
1_286_1	0.941735	-1.355186	-1.300072	-1.040439
1_287_1	0.881579	0.498710	0.869252	1.270781
1_288_1	1.325898	-1.659101	-1.842432	-1.271807
1_289_1	0.712910	-1.235189	-1.559536	-0.233488
1_290_1	-0.855090	0.797180	1.391958	0.740571
1_291_1	0.971051	-1.380176	-1.226014	-1.391820
1_292_1	-1.914658	0.633458	1.185492	1.050262
1_293_1	1.040170	-1.917745	-1.710744	-0.816146
1_294_1	1.376966	-1.109266	-1.649994	-0.120995
1_295_1	0.911230	-1.548100	-1.578055	-1.701596
1_296_1	1.028518	-1.887341	-0.848552	-1.594665
1_297_1	0.926264	-0.627851	-0.916078	-2.636311
1_298_1	1.059344	-1.146787	-0.822718	-1.594998
1_299_1	-2.096182	1.249232	1.130997	1.229669
1_300_1	1.164951	-1.407003	-2.388084	-0.721018
1_301_1	-1.384614	1.502821	0.976095	0.806945
1_302_1	0.873341	-1.569564	-1.093352	-1.364662
1_303_1	-1.548456	1.141990	1.053351	1.133009
1_304_1	1.055702	-1.214269	-0.985125	-0.891743
1_305_1	1.385932	-0.576088	-1.324998	-1.271672
1_306_1	-1.449306	1.198795	0.803974	0.431336
1_307_1	-1.194013	1.300651	1.179248	1.180570
1_308_1	0.905061	-0.710522	-0.722925	-2.301818
1_309_1	1.367518	-0.660489	-1.407855	-0.889905
1_310_1	-1.380198	1.456637	1.362342	1.173747
1_311_1	-1.289848	0.788341	1.353399	0.712657
1_312_1	1.211779	-0.606233	0.059574	1.812327
1_313_1	-1.719801	1.525008	1.308062	1.255979
1_314_1	0.924043	-1.244906	-2.002980	-0.981704
1_315_1	-1.321186	1.202187	1.301255	1.011641
1_316_1	-1.659758	1.153114	1.241335	1.071046
1_317_1	0.997068	-2.165633	0.017073	0.860115
1_318_1	1.123273	-1.009768	-1.826152	0.171441
1_319_1	1.294268	-0.447820	-1.267559	-0.620219
1_320_1	-0.658644	1.268909	0.631375	1.172655
1_321_1	1.124081	-1.261465	-1.041851	-0.587494
1_322_1	1.153872	-1.072457	-1.082836	-0.467376
1_323_1	1.055689	-0.625803	0.310284	0.241470
1_324_1	0.920140	-1.843807	-1.278403	-0.304306
1_325_1	-1.307208	1.410398	1.229936	1.133608
1_326_1	-1.205955	1.099281	1.117558	0.998775
1_327_1	1.351568	-0.802732	-1.843554	-1.759146
1_328_1	-1.952192	1.393553	1.498073	1.216476
1_329_1	1.173753	-1.270078	-1.051423	-1.320013
1_330_1	0.960852	-0.563603	-0.652733	-1.614896
1_331_1	-0.810870	1.221812	1.401748	-0.068575
1_332_1	-1.376164	0.926248	1.497566	1.280042
1_333_1	0.959997	-0.891291	-1.129405	-1.511693
1_334_1	0.949080	-1.877691	-1.613575	-1.488497
1_335_1	0.676565	-0.723256	-1.868107	-2.460605
1_336_1	0.865106	-1.025085	-1.723723	-1.574986
1_337_1	-1.144751	1.078230	1.596866	1.369555
1_338_1	-1.758339	1.204183	1.416493	0.776020
1_339_1	1.181125	-0.797680	-1.293315	-1.297689
1_340_1	-1.790864	1.491711	1.124328	1.085400
1_341_1	1.047432	-1.499033	-1.261965	0.025674
1_342_1	-1.139793	0.947246	-0.290482	-1.520982
1_343_1	0.635279	-1.193343	-2.343823	-1.518015
1_344_1	1.275826	-1.269341	-1.380972	-1.289738
1_345_1	-1.005273	1.320346	0.730999	1.174159
1_346_1	-1.233623	1.465582	0.981752	1.609442
1_347_1	-1.357085	1.333619	1.323950	0.571326
1_348_1	1.177702	-0.860990	-2.508005	-0.345090
1_349_1	-1.324786	0.926481	1.001731	0.979382
1_350_1	1.207057	-1.589596	-1.446853	0.387391
1_351_1	0.962023	-1.145403	-1.395681	-2.485588
1_352_1	1.049209	0.009453	-0.243676	-1.115127
1_353_1	0.997746	-2.246715	-1.352799	-1.519593
1_354_1	1.147455	-1.616047	-1.337194	-1.367859
1_355_1	1.247601	-0.609337	-1.773185	-1.660458
1_356_1	1.147405	-0.579229	-1.191243	-0.232638
1_357_1	1.087161	-1.277419	-1.281386	-0.979678
1_358_1	1.206752	-1.232072	-1.815832	-0.257883
1_359_1	0.944235	-1.069942	-0.779560	-2.210408
1_360_1	0.897703	-1.939552	-1.373830	-1.769333
1_361_1	0.674726	-0.265059	-2.017881	-1.232061
1_362_1	0.785040	-1.728902	-2.150534	-1.030803
1_363_1	0.748614	-1.301819	-1.315383	-1.145308
1_364_1	-1.334663	1.214336	0.941171	1.561412
1_365_1	0.890783	-0.392066	-0.582166	-1.416516
1_366_1	1.180853	-1.274036	-2.229898	-0.223136
1_367_1	-0.962167	1.101877	1.063096	0.912724
1_368_1	1.043902	-0.786984	-1.883564	-0.234280
1_369_1	1.040454	-1.292012	-2.005773	-0.896182
1_370_1	1.243083	-0.825217	-0.979838	-1.522423
1_371_1	-1.286089	1.100992	1.317464	1.028032
1_372_1	-1.477766	1.086555	1.512968	0.655325
1_373_1	1.204110	-0.735403	-1.182602	-0.867957
1_374_1	0.855516	-1.613554	-0.556604	-1.583450
1_375_1	1.415377	-1.888244	0.221215	0.647028
1_376_1	1.049773	-0.891158	-0.550291	-1.309981
1_377_1	0.777385	-0.810339	-2.576115	-0.663638
