Name	Gcnf	Gata6	Pbx1	Klf4	Nanog
1_127_1	0.221717	-0.692653	-0.067754	-1.189422	-0.647622
1_128_1	-1.641030	-1.159540	0.888103	1.329460	1.313764
1_129_1	-0.466112	-0.757507	1.919822	1.498741	1.149864
1_130_1	-1.484344	-1.474848	1.778352	0.494960	1.006762
1_131_1	-0.826731	-0.847292	-1.034183	-1.307010	-0.360020
1_132_1	-1.345200	-1.328685	1.239226	1.075266	1.384756
1_133_1	1.218068	0.529676	-0.849093	-0.780885	-1.277751
1_134_1	0.531072	0.840323	-0.499987	-1.334447	-1.316199
1_135_1	1.363065	-0.138395	-1.025240	-1.055109	-0.910690
1_136_1	-1.142741	-1.155775	1.168975	0.261853	1.029115
1_137_1	1.087686	0.752282	-1.434711	-1.219368	-1.425034
1_138_1	1.041690	0.830603	-1.341244	-0.168010	-0.970860
1_139_1	0.964598	0.518065	0.448533	-1.120862	-0.580268
1_140_1	1.037113	0.607784	-0.796599	0.179319	-0.838738
1_141_1	0.005099	-0.454348	-0.042434	-1.460729	-1.002537
1_142_1	0.856496	1.242758	-1.048310	-1.256056	-1.569771
1_143_1	0.495185	-0.224078	-0.823040	-1.104378	-1.803681
1_144_1	0.583027	-1.005162	-0.268950	-1.661717	-0.656394
1_145_1	-0.852023	-0.920503	1.686304	1.335927	1.357973
1_146_1	1.313724	1.588721	-0.432089	-0.826454	-2.004062
1_147_1	0.105139	-0.377441	-0.894797	-0.629501	-0.747415
1_148_1	-1.409671	-1.155413	0.575644	1.007704	1.365786
1_149_1	-1.763493	-1.630733	1.213340	1.221041	0.977837
1_150_1	-0.049304	-0.766941	-0.778135	-0.737013	-0.715203
1_151_1	-0.743552	-0.903728	-1.737661	-1.437942	-1.876680
1_152_1	-1.365475	-1.111020	0.964294	1.453266	1.528483
1_153_1	0.635269	0.674707	-1.009556	-0.411710	-0.900064
1_154_1	-2.411380	-1.401201	1.507764	1.150406	1.279641
1_155_1	0.822047	0.171053	-0.811371	-1.201360	-1.516540
1_156_1	-1.006463	-0.785403	0.944657	1.109342	1.177914
1_157_1	-1.765843	-1.234833	0.859485	1.203367	1.228112
1_158_1	1.452860	0.696065	0.244070	-1.326742	-0.820331
1_159_1	1.622102	0.664730	-1.857048	-1.449437	-1.497731
1_160_1	-1.606275	-1.519653	1.017126	0.967854	1.640819
1_161_1	0.069733	-0.438647	-0.093254	-1.070187	-0.481493
1_162_1	0.480998	-0.670033	-0.212249	-0.757314	-1.503945
1_163_1	-0.330990	-1.535701	-0.377620	-0.369625	-0.887236
1_164_1	1.294732	1.104936	-0.291306	-1.281539	-1.552867
1_165_1	-0.347285	-0.530311	-1.328307	-0.817757	-0.625475
1_166_1	1.519308	0.985751	-0.464140	-1.352872	-1.584107
1_167_1	-1.482244	-2.065480	1.452640	1.149272	1.301087
1_168_1	-0.215731	-0.332823	0.679665	-0.825362	-0.504096
1_169_1	-1.420143	-1.501041	0.619401	1.390408	0.858895
1_170_1	1.060612	0.524746	-2.149789	-0.878057	-1.105358
