id	Gcnf	Cdx2	Gata6	Pbx1	Klf4	Nanog	Oct4	Oct4-Sox2	Sox2
89	0.382887	0.716331	0.171145	-0.642162	-0.921883	-0.890341	-1.764174	-1.764996	-1.773889
90	0.664470	1.086729	-0.732628	-0.987714	-0.867519	-0.993220	-1.295371	-0.064011	-0.894033
91	-2.574648	-1.599330	-2.067175	0.920365	1.145782	1.428184	0.952321	0.974836	1.450029
92	0.058592	1.029671	-0.750416	-0.938036	-0.370418	-0.682893	-1.831127	-2.049981	-1.168429
93	1.736542	0.718267	0.909724	-1.441956	-1.236893	-1.844526	-1.837471	-1.124740	-0.481626
94	0.748760	1.051714	0.153655	-0.434298	-1.280135	-1.435437	-0.339119	-1.980092	-2.162899
95	0.846901	1.355488	-0.409540	-0.769451	-0.280357	-1.143975	-1.114043	-1.113729	-1.775572
96	0.181578	0.970206	-0.813335	-0.270302	-1.859280	-1.263007	-0.810699	-2.324203	-0.847833
97	1.877211	0.567628	0.755261	-1.326856	-1.781019	-0.975181	-1.082269	-1.695877	-1.284158
98	-0.275520	1.224613	-0.565519	-1.184738	-1.155320	-1.015493	-0.992489	-1.073019	-0.692152
99	0.068715	1.128150	-0.455107	-1.320526	-1.322326	-0.817906	-0.360029	-1.499102	-1.058046
100	1.272840	1.008574	0.948783	-1.207574	-0.747888	-1.706406	-1.425743	-0.459270	0.805311
101	-1.727316	-1.198328	-1.475141	1.059425	1.171155	1.214633	1.161577	1.556679	1.235983
102	1.382632	1.158069	0.996299	-2.833622	-1.316136	-1.487841	-1.583650	-0.975287	-1.220877
103	1.445702	1.026818	1.491031	-0.062110	-0.711965	-0.571853	-0.233250	-1.025982	-1.859452
104	0.702517	1.346197	1.076211	-2.168722	-1.271100	-1.819571	-0.825355	-0.674118	-0.379335
105	1.465437	1.088128	0.446265	-0.948185	-1.736240	-0.732647	-1.428708	-1.348702	-1.928969
106	-1.022735	-2.335234	-1.599732	1.622817	0.463978	1.266772	1.159979	0.742929	-0.084717
107	-1.056689	-1.088113	-0.700313	0.811918	0.525996	0.800133	1.160990	1.048166	1.139798
108	1.526646	0.843717	0.521984	-2.218240	-1.265348	-1.267670	-1.416001	-1.732143	-0.409598
109	1.084530	0.905133	0.681451	-0.944820	-0.242511	-2.113528	-1.892520	-1.955500	-1.983999
110	-0.193807	0.978003	-0.623491	-1.139587	-0.840141	-0.623605	-1.246166	-2.030892	-2.053010
111	-1.760992	-1.113558	-0.683416	-0.525466	0.656267	0.858716	1.024215	1.416114	1.143979
112	1.122856	0.876908	1.598267	-0.549803	-1.334113	-1.272229	-1.750645	-1.937504	-1.165989
113	-0.602847	1.125179	-0.056227	-1.420286	-1.116059	-1.106793	-0.828681	-0.974440	-0.647576
114	-1.412811	-0.401485	-1.574235	2.060387	1.532924	1.389950	1.028402	1.438367	0.757069
115	0.178960	1.244080	-0.761932	-0.800500	-0.832028	-1.238481	-0.780565	-1.332655	-1.690270
116	-1.651151	-0.736428	-0.617087	1.113455	0.673348	1.146179	1.068398	1.300634	0.625940
117	1.089771	1.150822	0.729417	-0.128090	-0.957929	-1.313636	-1.439643	-1.841999	-1.574367
118	0.019318	-0.396390	0.668581	-1.678648	0.696511	0.123687	1.342507	1.211990	1.183502
119	-0.081112	0.877542	-0.641623	-0.712484	-1.192968	-0.222279	-0.646293	-1.118677	0.238688
120	1.382721	0.797717	1.009414	0.894994	-2.028719	-1.557812	-1.984816	-1.969231	-1.742608
121	0.374527	1.185781	-0.796699	-1.172365	-1.059735	-0.804006	-1.073609	-1.093755	-0.970853
122	1.179086	0.903006	0.956580	-0.819550	-1.350141	-1.976362	-1.608142	-0.840395	-2.275993
123	0.088339	0.843423	-0.489822	-1.027965	-1.201401	-0.417005	-1.708740	-1.031150	-1.469406
124	1.322262	1.003703	1.065363	-0.674907	-1.261699	-1.002202	-1.803132	-2.251282	-1.670306
125	0.296871	0.818579	-0.831511	-0.586915	-0.486067	-0.940673	-0.420278	-1.689190	0.190049
126	0.224256	0.996540	-0.690941	-0.069018	-1.194521	-0.653073	-1.153566	-1.176512	-1.479012
127	-1.641779	-1.319627	-1.158035	0.883230	1.319922	1.311099	1.111628	0.848700	0.682999
128	-0.464787	-0.959289	-0.755823	1.911053	1.488905	1.146966	1.355904	1.283375	0.683187
129	-1.484816	-1.392644	-1.473482	1.770118	0.486892	1.003661	0.927165	0.367205	1.302207
130	-0.826042	0.953012	-0.845648	-1.031798	-1.311902	-0.365063	-0.442661	-1.894988	-1.167412
131	-1.345427	-0.836245	-1.327254	1.233027	1.066176	1.382193	0.908391	1.504787	0.799458
132	1.222365	0.876399	0.531930	-0.847407	-0.786704	-1.284097	-1.191345	-1.316893	-1.953563
133	0.534157	1.057493	0.842714	-0.499619	-1.339291	-1.322600	-1.209211	-1.158999	-2.039994
134	1.367618	0.906652	-0.136437	-1.022889	-1.060445	-0.916514	-1.340987	-1.153518	-2.157283
135	-1.142610	-0.990081	-1.154267	1.163042	0.254196	1.026046	0.208355	-0.835440	-1.985793
136	1.091753	1.188435	0.754634	-1.430814	-1.224415	-1.431590	-1.246947	-0.966191	-0.796218
137	1.045677	1.177279	0.832989	-1.337700	-0.174910	-0.976770	-1.267463	-0.398109	-2.208473
138	0.968449	1.294044	0.520314	0.445319	-1.126083	-0.585624	-1.296535	-1.361801	-2.088418
139	1.041091	0.857074	0.610072	-0.795112	0.171808	-0.844461	-1.433511	0.208884	0.813085
140	0.007255	0.773755	-0.452530	-0.043793	-1.465350	-1.008492	-0.731939	-0.508839	-1.671476
141	0.860155	0.982019	1.245328	-1.045872	-1.261038	-1.576532	-1.152283	-1.838619	-1.070210
142	0.498207	0.687788	-0.222158	-0.821452	-1.109627	-1.810774	-1.442975	-0.792951	-2.105469
143	0.586204	0.955818	-1.003588	-0.269455	-1.665984	-0.661857	-0.537499	-1.448726	-1.023353
144	-0.851379	-1.759678	-0.918892	1.678418	1.326377	1.355372	1.058177	0.922229	1.015352
145	1.318190	0.943364	1.591444	-0.431978	-0.832193	-2.011440	-1.704257	-2.407709	-0.727087
146	0.107472	1.350634	-0.375589	-0.892938	-0.635587	-0.753008	-0.948920	-2.096325	-1.533395
147	-1.410012	-1.473107	-1.153905	0.571950	0.998732	1.363195	1.325025	0.917217	0.778203
148	-1.764458	-1.252548	-1.629436	1.207239	1.211694	0.974695	1.249374	1.094799	0.916496
149	-0.047244	0.992585	-0.765262	-0.776717	-0.742910	-0.720750	-0.677619	-1.026222	-1.695418
150	-0.742717	1.215439	-0.902109	-1.732620	-1.442604	-1.883877	-1.137633	-1.064530	-2.032748
151	-1.365737	-1.605086	-1.109493	0.959133	1.443510	1.526123	1.001010	0.987976	1.126515
152	0.638538	0.990793	0.677025	-1.007264	-0.418180	-0.905874	-1.628760	-1.236396	-1.266287
153	-2.413489	-1.533131	-1.399802	1.500551	1.141183	1.276928	1.063079	1.591935	1.531127
154	0.825645	1.279750	0.173148	-0.809827	-1.206438	-1.523225	-1.978290	-1.714682	-1.064284
155	-1.006092	-1.371280	-0.783732	0.939570	1.100191	1.175056	1.108493	1.105995	1.267058
156	-1.766812	-1.261401	-1.233361	0.854720	1.194051	1.225326	1.230703	1.230260	1.211366
157	1.457572	1.012123	0.698392	0.241628	-1.331599	-0.826027	-1.216863	-1.563324	-0.925406
158	1.627113	0.924169	0.667044	-1.851556	-1.454078	-1.504390	-1.272478	-1.747058	-0.971062
159	-1.606962	-1.026870	-1.518307	1.011766	0.958953	1.638619	1.054445	1.289067	0.856298
160	0.072004	1.005450	-0.436822	-0.094422	-1.075496	-0.486708	-0.619536	-1.379459	-1.298347
161	0.483995	1.098125	-0.668310	-0.212968	-0.763175	-1.510613	-0.735421	-1.130134	-0.978636
162	-0.329427	0.854943	-1.534361	-0.377715	-0.376169	-0.893028	-0.989822	-1.520007	-2.874964
163	1.299165	0.994097	1.107444	-0.291726	-1.286476	-1.559604	-0.774767	-2.397828	-0.455513
164	-0.345751	0.384172	-0.528527	-1.324812	-0.823511	-0.630895	-0.510953	-1.031609	-0.754984
165	1.524137	1.215618	0.988206	-0.463908	-1.357684	-1.590889	-0.831781	-1.033624	-1.309528
166	-1.482713	-0.942144	-2.064375	1.445636	1.140051	1.298404	1.088006	1.493754	1.312192
167	-0.213964	1.070532	-0.330951	0.675579	-0.831103	-0.509343	-0.300671	-1.127225	-1.103599
168	-1.420502	-1.249883	-1.499687	0.615542	1.380762	0.855584	1.170261	1.169309	0.929126
