Pattern,avgS,ha,hb,hc,hd,he,hf,hg,hh,hi,hj
pbx1_down_s1,2.591,1.1785329959356121,1.1357792828170388,1.1527784295062877,1.1205433874150927,1.1515843144881868,1.1171587389505298,9302.484338827015,9520.201987720095,9261.53978016338,9478.33721899887
pbx1_down_s2,2.5655,1.1687264295843094,1.131525661444226,1.1455830694889098,1.1157303824447795,1.143535891248663,1.1144825984478568,9248.262628747038,9333.95760071308,9195.938449713542,9287.989579843348
pbx1_down_s3,2.562,1.162231638920218,1.132436306682849,1.1335759877829008,1.1142521271887578,1.1380665287636562,1.1175980504642367,9301.88249151461,9255.842898415349,9238.994328029079,9211.885181362695
pbx1_down_s4,2.5512,1.1565647221696056,1.1313916991070465,1.1307072197229888,0.49776698648020545,1.1342862521646622,1.1184925867045628,9325.811711402821,9218.646946429915,9254.058714605046,9175.123929787373
pbx1_down_s5,2.5457,1.153280291436083,1.130819175006751,1.1314530532064861,0.5094546629237117,1.1318477316082869,1.1189305806841883,9339.03391216691,9208.112194746322,9263.21037598981,9166.160534591974
oct4_down_s1,2.4318,1.1141452752180123,1.0841524356425494,1.002336211728449,0.9803681119722815,1.010520201608039,0.9876443239162276,9523.191490596522,9218.900093830105,9244.247351423632,8961.87243126049
oct4_down_s2,2.2681,1.0520726531520468,1.02444005786049,0.9331349343311327,0.9095134965135129,0.9417762042232283,0.919114317079547,9018.838159280109,8686.43433258761,8677.216644287844,8373.467259116542
oct4_down_s3,2.1602,1.0050113935992058,0.9792654245933531,0.8999299850952134,0.8761312296040391,0.9039532030324587,0.8795893154870104,8636.625814771563,8276.278264787707,8326.32006311989,7994.750052641325
oct4_down_s4,2.0791,0.9660434116531336,0.9395381115455608,0.8733913587022991,0.8484437549655895,0.8777361632461016,0.853532288033743,8325.040444048036,7965.175121455539,8070.5789883736625,7742.869806785669
oct4_down_s5,2.024,0.9359681017315815,0.9086471911139549,0.8636894118080751,0.8336258631245055,0.8577306965281948,0.8322013461281104,8133.662955601782,7764.186319074167,7918.1671510276465,7581.35544911486
sox2_down_s1,2.2165,0.9505556952299703,0.9496706985825465,0.9493499344489089,0.9501684068161397,0.950808063947854,0.952041206901961,8649.632565383516,8400.296059766912,8729.312064554497,8471.672086443268
