NODE124X	GENE17483X	NODE33X	0.997652	2
NODE125X	GENE9486X	GENE3642X	0.997646	2
NODE126X	GENE753X	GENE209X	0.997637	2
NODE127X	GENE25630X	GENE151X	0.997618	2
NODE128X	GENE12420X	GENE1260X	0.997616	2
NODE129X	GENE20940X	GENE15125X	0.997611	51
NODE130X	GENE24209X	GENE14520X	0.997608	2
NODE131X	GENE23755X	GENE2948X	0.997605	2
NODE132X	GENE17943X	GENE2150X	0.997594	51
NODE133X	GENE22409X	GENE16306X	0.997593	2
NODE134X	GENE9719X	GENE693X	0.997589	2
NODE135X	GENE11440X	GENE3985X	0.997588	2
NODE136X	GENE14105X	GENE9203X	0.997583	2
NODE137X	GENE21682X	GENE1987X	0.997568	2
NODE138X	GENE21574X	GENE16256X	0.997560	2
NODE139X	GENE24939X	GENE19214X	0.997559	5
NODE140X	GENE21859X	GENE20580X	0.997559	2
NODE141X	GENE18750X	GENE2181X	0.997558	2
NODE142X	GENE11668X	GENE9169X	0.997542	2
NODE143X	GENE12161X	GENE4625X	0.997538	5
NODE144X	GENE17585X	GENE12065X	0.997536	2
NODE145X	GENE11086X	GENE10996X	0.997534	2
NODE146X	GENE20132X	GENE5091X	0.997532	2
NODE147X	GENE15868X	GENE3480X	0.997529	2
NODE148X	GENE6865X	GENE2695X	0.997529	2
NODE149X	GENE16734X	GENE79X	0.997522	2
NODE150X	GENE24679X	GENE21594X	0.997519	5
NODE151X	GENE22302X	GENE4151X	0.997516	2
NODE152X	GENE23582X	GENE8169X	0.997507	53
NODE153X	GENE17186X	GENE6741X	0.997505	2
NODE154X	GENE19814X	GENE18133X	0.997503	2
NODE155X	GENE25714X	NODE112X	0.997498	2
NODE156X	GENE25467X	GENE18700X	0.997491	2
NODE157X	GENE3506X	GENE2602X	0.997477	2
NODE158X	GENE4289X	GENE2584X	0.997472	2
NODE159X	GENE18256X	GENE9216X	0.997467	2
NODE160X	GENE15685X	GENE2844X	0.997466	53
NODE161X	GENE21521X	GENE7542X	0.997464	2
NODE162X	GENE19412X	GENE13295X	0.997462	2
NODE163X	GENE23779X	GENE1161X	0.997457	2
NODE164X	GENE21794X	GENE12578X	0.997449	53
